,invitation_stream,num_of_invitations,rank_required,date_time,crs_score,tie_breaking_rule
0,Canadian Experience Class,3559,3559,June 11 2020 13:33:58 ,437,May 25 2020 00:31:43 
1,Provincial Nominee Class,341,341,June 10 2020 13:49:43 ,743,April 14 2020 13:25:51 
2,Canadian Experience Class,3515,3515,May 28 2020 11:35:51 ,440,March 7 2020 10:36:59 
3,Provincial Nominee Class,385,385,May 27 2020 11:37:30 ,757,April 27 2020 10:19:01 
4,Canadian Experience Class,3371,3371,May 15 2020 12:46:53 ,447,December 23 2019 10:01:06 
5,Provincial Nominee Class,529,529,May 13 2020 13:11:44 ,718,March 19 2020 12:53:21 
6,Canadian Experience Class,3311,3311,May 1 2020 11:33:47 ,452,October 10 2019 19:15:28 
7,Provincial Nominee Class,589,589,April 29 2020 11:17:20 ,692,March 11 2020 13:46:21 
8,Canadian Experience Class,3782,3782,April 16 2020 15:20:02 ,455,January 20 2020 17:37:33 
9,Provincial nominee Program,118,118,April 15 2020 14:31:00 ,808,March 18 2020 10:30:55 
10,Canadian Experience Class,3294,3294,April 9 2020 17:36:14 ,464,January 4 2020 12:16:45 
11,Provincial nominee Program,606,606,April 9 2020 14:14:53 ,698,December 18 2019 11:29:51 
12,Canadian Experience Class,3232,3232,March 23 2020 16:12:27 ,467,November 25 2019 14:00:35 
13,Provincial nominee Program,668,668,March 19 2020 02:04:06 ,720,March 19 2020 02:04:06 
14,No program specified,3900,3900,March 4 2020 13:44:16 ,471,February 24 2020 06:02:57 
15,No program specified,4500,4500,February 19 2020 13:19:54 ,470,January 13 2020 10:52:52 
16,No program specified,3500,3500,February 5 2020 13:11:46 ,472,January 30 2020 07:36:26 
17,No program specified,3400,3400,January 22 2020 13:35:06 ,471,May 9 2019 01:16:02 
18,No program specified,3400,3400,January 8 2020 13:33:44 ,473,December 27 2019 13:35:09 
19,No program specified,3200,3200,December 19 2019 13:21:53 ,469,November 14 2019 08:41:33 
20,No program specified,3200,3200,December 11 2019 13:26:03 ,472,December 6 2019 03:03:49 
21,No program specified,3600,3600,November 27 2019 12:44:41 ,471,November 11 2019 6:29:10 
22,No program specified,3600,3600,November 13 2019 12:40:01 ,472,October 8 2019 10:46:01 
23,No program specified,3900,3900,October 30 2019 12:50:09 ,475,August 29 2019 03:50:24 
24,Federal skilled trades,500,500,October 16 2019 12:56:58 ,357,March 4 2019 20:36:42 
25,No program specified,3900,3900,October 2 2019 12:16:25 ,464,September 20 2019 15:05:04 
26,No program specified,3600,3600,September 18 2019 17:52:51 ,462,August 29 2019 07:57:13 
27,No program specified,3600,3600,September 4 2019 13:36:34 ,463,August 23 2019 13:33:34 
28,No program specified,3600,3600,August 20 2019 11:51:30 ,457,March 24 2019 15:32:42 
29,No program specified,3600,3600,August 12 2019 12:36:51 ,466,August 6 2019 12:14:53 
30,No program specified,3600,3600,July 24 2019 12:55:38 ,459,May 25 2019 14:40:52 
31,No program specified,3600,3600,July 10 2019 12:31:36 ,460,June 11 2019 00:27:18 
32,No program specified,3350,3350,June 26 2019 12:30:54 ,462,May 11 2019 17:40:54 
33,No program specified,3350,3350,June 12 2019 11:59:22 ,465,June 6 2019 13:51:59 
34,No program specified,3350,3350,May 29 2019 12:09:37 ,470,May 23 2019 10:18:56 
35,"Program specified:
  Federal Skilled Trades",500,500,May 15 2019 11:23:38 ,332,August 29 2018 8:32:03 
36,No program specified,3350,3350,May 1 2019 12:03:02 ,450,November 5 2018 12:27:07 
37,No program specified,3350,3350,April 17 2019 15:26:33 ,451,April 2 2019 15:01:49 
38,No program specified,3350,3350,April 3 2019 17:37:40 ,451,January 9 2019 7:35:09 
39,No program specified,3350,3350,March 20 2019 11:44:52 ,452,February 7 2019 9:59:25 
40,No program specified,3350,3350,March 6 2019 14:56:03 ,454,February 11 2019 17:21:27 
41,No program specified,3350,3350,February 20 2019 01:43:14 ,457,December 6 2018 12:38:11 
42,No program specified,3350,3350,January 30 2019 12:09:10 ,438,April 26 2018 05:00:46 
43,No program specified,3900,3900,January 23 2019 14:19:24 ,443,January 2 2019 03:55:26 
44,No program specified,3900,3900,January 10 2019 12:20:46 ,449,January 2 2019 11:40:53 
45,No program specified,3900,3900,December 19 2018 12:35:17 ,439,February 6 2018 19:31:37 
46,No program specified,3900,3900,December 12 2018 14:10:54 ,445,November 28 2018 09:51:43 
47,No program specified,3900,3900,November 28 2018 12:14:58 ,445,October 22 2018 14:40:13 
48,No program specified,3900,3900,November 15 2018 14:06:07 ,449,September 16 2018 12:41:42 
49,No program specified,3900,3900,October 29 2018 16:36:30 ,442,October 16 2018 06:09:04 
